component	file	line	raw	normalized	review_class
patient	patient-app/app/nutrition/food-scanner.tsx	84	/nutrition/daily-tracker	/nutrition/daily-tracker	API_CANDIDATE_REVIEW
patient	patient-app/app/nutrition/log-meal.tsx	41	/nutrition/foods	/nutrition/foods	API_CANDIDATE_REVIEW
patient	patient-app/app/nutrition/log-meal.tsx	70	/nutrition/daily-tracker	/nutrition/daily-tracker	API_CANDIDATE_REVIEW
patient	patient-app/app/nutrition/log-meal.tsx	134	/nutrition/food-scanner	/nutrition/food-scanner	API_CANDIDATE_REVIEW
patient	patient-app/app/payments/failed.tsx	77	/wallet/hub	/wallet/hub	API_CANDIDATE_REVIEW
patient	patient-app/app/payments/failed.tsx	82	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/payments/failure.tsx	78	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/payments/success.tsx	68	/consultations/clinic-location	/consultations/clinic-location	API_CANDIDATE_REVIEW
patient	patient-app/app/payments/success.tsx	69	/consultations/home-visit-tracking	/consultations/home-visit-tracking	API_CANDIDATE_REVIEW
patient	patient-app/app/payments/success.tsx	70	/consultations/booking-success	/consultations/booking-success	API_CANDIDATE_REVIEW
patient	patient-app/app/payments/success.tsx	78	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/pharmacy/barcode-scanner.tsx	35	/pharmacy/product-detail	/pharmacy/product-detail	API_CANDIDATE_REVIEW
patient	patient-app/app/pharmacy/barcode-scanner.tsx	68	/pharmacy/drug-not-found	/pharmacy/drug-not-found	API_CANDIDATE_REVIEW
patient	patient-app/app/pharmacy/broadcast-status.tsx	71	/pharmacy/order-tracking	/pharmacy/order-tracking	API_CANDIDATE_REVIEW
patient	patient-app/app/pharmacy/cart.tsx	69	/pharmacy/checkout	/pharmacy/checkout	API_CANDIDATE_REVIEW
patient	patient-app/app/pharmacy/cart.tsx	182	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/pharmacy/cart.tsx	202	/pharmacy/manual-order	/pharmacy/manual-order	API_CANDIDATE_REVIEW
patient	patient-app/app/pharmacy/chat-with-pharmacist.tsx	116	/pharmacy/cart	/pharmacy/cart	API_CANDIDATE_REVIEW
patient	patient-app/app/pharmacy/checkout.tsx	69	/profile/insurance	/profile/insurance	API_CANDIDATE_REVIEW
